                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.09487,                0.47035,                0.88928,                0.97509,                0.97321,                  0.995,                  0.995,                0.24853,                0.57606,                0.37071,                 0.0973,                 0.0003,                 0.0003
                      1,                 0.0918,                0.41591,                0.89019,                 0.9693,                0.97238,                  0.995,                0.99189,                0.26687,                0.57216,                0.38652,               0.093693,             0.00069307,             0.00069307
                      2,                0.08559,                0.40939,                0.91328,                 0.9749,                0.97325,                  0.995,                  0.995,                0.26378,                 0.5707,                0.38471,               0.090078,              0.0010782,              0.0010782
                      3,                0.09733,                0.40776,                0.89744,                 0.9777,                      1,                  0.995,                  0.995,                0.24142,                0.55309,                0.35366,               0.086455,              0.0014555,              0.0014555
                      4,                0.10048,                0.42025,                0.90242,                0.98027,                      1,                  0.995,                  0.995,                0.22483,                0.52908,                0.33333,               0.082825,              0.0018248,              0.0018248
                      5,                0.12083,                0.43847,                0.88813,                0.97823,                      1,                  0.995,                  0.995,                0.24883,                0.53105,                0.36104,               0.079186,              0.0021861,              0.0021861
                      6,                0.12429,                0.52288,                0.90995,                0.98063,                      1,                  0.995,                  0.995,                 0.3248,                0.57314,                0.44149,                0.07554,              0.0025396,              0.0025396
                      7,                0.12789,                0.46659,                0.91955,                0.98081,                      1,                  0.995,                0.99033,                 0.3199,                0.59761,                0.43329,               0.071885,              0.0028852,              0.0028852
                      8,                0.14178,                0.47364,                0.92253,                0.98166,                      1,                  0.995,                  0.995,                0.22925,                0.52986,                 0.3375,               0.068223,              0.0032228,              0.0032228
                      9,                0.14085,                0.47214,                0.89364,                0.98235,                      1,                  0.995,                  0.995,                0.21894,                0.55811,                0.32894,               0.064553,              0.0035525,              0.0035525
                     10,                0.15173,                 0.4274,                0.89176,                0.98194,                      1,                  0.995,                  0.995,                0.19015,                 0.5849,                0.28906,               0.060874,              0.0038743,              0.0038743
                     11,                0.14723,                0.46952,                0.90447,                0.97387,                      1,                  0.995,                  0.995,                0.18829,                0.55048,                0.29207,               0.057188,              0.0041882,              0.0041882
                     12,                0.17333,                0.50215,                0.91596,                 0.9002,                 0.9716,                  0.995,                0.98876,                0.21457,                0.61751,                0.31664,               0.053494,              0.0044941,              0.0044941
                     13,                0.16306,                 0.4605,                0.89295,                 0.8619,                0.99035,                  0.995,                0.97629,                0.27799,                0.64415,                0.38934,               0.049792,              0.0047922,              0.0047922
                     14,                0.16981,                0.45895,                0.91596,                0.90762,                      1,                  0.995,                0.97629,                0.30852,                0.60078,                0.44422,               0.046082,              0.0050823,              0.0050823
                     15,                  0.183,                0.45116,                0.91281,                0.84113,                      1,                  0.995,                0.96701,                0.23806,                0.52191,                0.34971,               0.042364,              0.0053644,              0.0053644
                     16,                0.18972,                0.44264,                0.95899,                0.89232,                0.96923,                  0.995,                0.96701,                0.20171,                0.53529,                0.29557,               0.038639,              0.0056387,              0.0056387
                     17,                0.17277,                0.50854,                0.90696,                  0.966,                      1,                  0.995,                  0.995,                0.20669,                0.56444,                0.31507,               0.034905,              0.0059051,              0.0059051
                     18,                0.17409,                0.45479,                0.92146,                0.97904,                      1,                  0.995,                  0.995,                0.22216,                0.51526,                0.32567,               0.031163,              0.0061635,              0.0061635
                     19,                0.20759,                0.48872,                0.91287,                0.97913,                      1,                  0.995,                  0.995,                0.22095,                0.55534,                0.33006,               0.027414,               0.006414,               0.006414
                     20,                0.18247,                0.50598,                0.92905,                 0.9721,                0.97133,                  0.995,                  0.995,                0.32129,                0.61911,                0.46754,               0.023657,              0.0066566,              0.0066566
                     21,                0.20616,                 0.4671,                0.93563,                0.93537,                0.93875,                  0.995,                0.98879,                  0.309,                0.63885,                0.44369,               0.019891,              0.0068913,              0.0068913
                     22,                0.21023,                0.50462,                0.94664,                0.86942,                0.94248,                0.98875,                0.95069,                0.44903,                0.76615,                0.56474,               0.016118,               0.007118,               0.007118
                     23,                0.18584,                0.50035,                 0.9356,                0.83663,                0.94984,                0.98875,                0.89818,                0.50707,                0.73525,                0.58431,               0.012337,              0.0073369,              0.0073369
                     24,                0.20287,                0.48694,                0.92082,                0.93357,                0.95227,                  0.995,                  0.995,                0.26189,                0.62297,                0.39998,              0.0085478,              0.0075478,              0.0075478
                     25,                0.20467,                 0.5279,                0.94309,                0.90667,                 0.9811,                  0.995,                0.99034,                0.29242,                0.63015,                0.42267,               0.007525,               0.007525,               0.007525
                     26,                0.20554,                0.51541,                0.95451,                0.93057,                      1,                  0.995,                  0.995,                0.18722,                0.49258,                0.31231,               0.007525,               0.007525,               0.007525
                     27,                0.19366,                0.57968,                 0.9601,                0.78784,                      1,                  0.995,                  0.995,                0.22424,                 0.5443,                 0.3579,               0.007426,               0.007426,               0.007426
                     28,                0.21956,                0.58822,                0.95249,                0.88623,                      1,                  0.995,                  0.995,                0.25501,                0.53438,                0.40402,               0.007327,               0.007327,               0.007327
                     29,                 0.2248,                0.54424,                0.92228,                 0.9756,                      1,                  0.995,                  0.995,                0.24481,                0.45589,                0.39503,               0.007228,               0.007228,               0.007228
                     30,                0.20491,                0.54283,                0.92489,                0.97282,                      1,                  0.995,                  0.995,                0.24165,                0.48555,                 0.3956,               0.007129,               0.007129,               0.007129
                     31,                0.18297,                0.51033,                0.94128,                0.96727,                      1,                  0.995,                  0.995,                0.22752,                 0.4874,                0.39221,                0.00703,                0.00703,                0.00703
                     32,                0.21046,                0.51916,                0.95982,                0.96843,                      1,                  0.995,                0.99303,                0.24041,                0.55961,                0.38643,               0.006931,               0.006931,               0.006931
                     33,                  0.197,                0.49632,                0.96033,                0.96601,                      1,                  0.995,                  0.995,                0.21882,                0.67356,                0.35317,               0.006832,               0.006832,               0.006832
                     34,                0.19752,                0.59484,                0.93946,                 0.9701,                      1,                  0.995,                  0.995,                0.24122,                0.50258,                0.36976,               0.006733,               0.006733,               0.006733
                     35,                0.23151,                0.54892,                0.94093,                0.97362,                      1,                  0.995,                  0.995,                0.25748,                0.52102,                0.37719,               0.006634,               0.006634,               0.006634
                     36,                0.19459,                0.53174,                0.94793,                0.97297,                      1,                  0.995,                  0.995,                0.24415,                0.54627,                0.36295,               0.006535,               0.006535,               0.006535
                     37,                0.18856,                0.51515,                0.91989,                0.96356,                      1,                  0.995,                 0.9888,                0.26338,                0.70859,                0.37997,               0.006436,               0.006436,               0.006436
                     38,                0.19084,                 0.4645,                 0.9201,                0.84985,                  0.875,                0.96375,                0.89576,                0.29466,                 1.0564,                0.37915,               0.006337,               0.006337,               0.006337
                     39,                0.20733,                 0.5511,                0.93665,                0.85726,                  0.875,                0.97417,                0.88018,                0.31736,                 1.0388,                0.38065,               0.006238,               0.006238,               0.006238
                     40,                0.19501,                0.52436,                0.95932,                0.79993,                      1,                  0.995,                0.84197,                0.39057,                 1.3024,                0.43115,               0.006139,               0.006139,               0.006139
                     41,                0.16628,                0.48741,                0.95486,                0.97287,                      1,                  0.995,                0.95309,                0.28758,                0.69372,                0.37643,                0.00604,                0.00604,                0.00604
                     42,                0.19722,                 0.4871,                0.95272,                0.97537,                      1,                  0.995,                0.92124,                0.35529,                0.80951,                0.41332,               0.005941,               0.005941,               0.005941
                     43,                0.18375,                0.48767,                0.96189,                0.97492,                      1,                  0.995,                0.98571,                0.24936,                0.57293,                0.34489,               0.005842,               0.005842,               0.005842
                     44,                0.16991,                0.45153,                0.92259,                0.93789,                 0.9635,                  0.995,                0.98878,                 0.2497,                0.66024,                0.34942,               0.005743,               0.005743,               0.005743
                     45,                0.16875,                0.48001,                0.92164,                0.71866,                0.81452,                0.97131,                0.88028,                0.39723,                 1.5985,                0.46369,               0.005644,               0.005644,               0.005644
                     46,                0.17042,                0.45738,                0.91461,                0.71431,                0.86765,                0.89135,                0.75114,                0.40422,                 1.6977,                0.48917,               0.005545,               0.005545,               0.005545
                     47,                0.19424,                0.51715,                0.91239,                0.88697,                0.70298,                  0.995,                0.94261,                0.40153,                 1.1829,                0.53093,               0.005446,               0.005446,               0.005446
                     48,                0.18255,                0.50669,                0.96634,                0.73667,                0.83147,                  0.995,                0.89575,                0.39076,                 1.0905,                0.49612,               0.005347,               0.005347,               0.005347
                     49,                0.17872,                0.50251,                0.91695,                0.87132,                0.90904,                  0.995,                0.98165,                0.31274,                 0.8509,                0.42581,               0.005248,               0.005248,               0.005248
                     50,                 0.1935,                 0.4916,                0.91445,                0.87276,                0.91435,                  0.995,                  0.995,                0.27886,                0.76764,                0.40171,               0.005149,               0.005149,               0.005149
                     51,                0.15144,                0.49788,                0.91178,                 0.8982,                  0.875,                  0.995,                  0.995,                0.25357,                0.78595,                0.36057,                0.00505,                0.00505,                0.00505
                     52,                0.15869,                0.48546,                0.92842,                0.87685,                  0.875,                  0.995,                  0.995,                0.24667,                0.78191,                0.34837,               0.004951,               0.004951,               0.004951
                     53,                0.15225,                 0.4423,                0.92235,                0.93148,                 0.7466,                0.92037,                0.91204,                0.31873,                0.88785,                0.44422,               0.004852,               0.004852,               0.004852
                     54,                0.18334,                0.46586,                0.91457,                0.93731,                   0.75,                0.92037,                0.92037,                0.30883,                0.87737,                0.42651,               0.004753,               0.004753,               0.004753
                     55,                0.17493,                0.48797,                0.93107,                0.94373,                   0.75,                0.92037,                0.92037,                0.28713,                0.83027,                0.40413,               0.004654,               0.004654,               0.004654
                     56,                0.17272,                0.43432,                0.92867,                0.94016,                0.81576,                  0.995,                  0.995,                0.32533,                0.73386,                0.45438,               0.004555,               0.004555,               0.004555
                     57,                0.16804,                0.55867,                0.92059,                0.89833,                0.84136,                  0.995,                0.98679,                0.32753,                0.80349,                0.44683,               0.004456,               0.004456,               0.004456
                     58,                0.17182,                0.51027,                0.95176,                0.87272,                0.81869,                  0.995,                 0.9815,                0.34702,                0.99797,                0.43351,               0.004357,               0.004357,               0.004357
                     59,                0.16515,                0.43331,                 0.9038,                0.85474,                0.81202,                  0.995,                0.94169,                0.40521,                 1.0997,                0.43184,               0.004258,               0.004258,               0.004258
                     60,                 0.1831,                0.48585,                0.94032,                0.82694,                0.77309,                0.99214,                0.93726,                0.44507,                 1.3136,                0.45494,               0.004159,               0.004159,               0.004159
                     61,                0.15363,                 0.4367,                0.93345,                0.54154,                0.96868,                  0.995,                0.93064,                0.46216,                 1.4645,                0.47205,                0.00406,                0.00406,                0.00406
                     62,                0.15801,                0.45684,                0.91526,                0.66902,                0.88706,                  0.995,                0.98829,                0.38611,                 1.1298,                0.46076,               0.003961,               0.003961,               0.003961
                     63,                0.15404,                0.44855,                 0.9202,                0.76514,                0.91175,                0.98875,                0.98125,                0.36365,                0.94638,                0.47765,               0.003862,               0.003862,               0.003862
                     64,                0.15137,                0.49218,                 0.8923,                0.73328,                0.97877,                0.98875,                0.97737,                0.37145,                0.85296,                0.48359,               0.003763,               0.003763,               0.003763
                     65,                0.15009,                0.44564,                0.92383,                0.82539,                0.89234,                0.96419,                0.93219,                0.42722,                0.74418,                 0.5101,               0.003664,               0.003664,               0.003664
                     66,                0.14557,                0.43564,                0.92275,                0.93595,                0.98359,                  0.995,                0.99091,                0.33082,                0.53761,                0.45615,               0.003565,               0.003565,               0.003565
                     67,                0.15798,                0.44811,                0.93553,                0.96557,                      1,                  0.995,                  0.995,                0.33281,                0.53663,                 0.4367,               0.003466,               0.003466,               0.003466
                     68,                0.15886,                0.43581,                0.93747,                0.97071,                      1,                  0.995,                0.98827,                0.36165,                0.58394,                0.45145,               0.003367,               0.003367,               0.003367
                     69,                0.14293,                0.45769,                0.92099,                0.96823,                      1,                  0.995,                0.99199,                0.28518,                0.46797,                0.40034,               0.003268,               0.003268,               0.003268
                     70,                0.12219,                0.40238,                0.91401,                 0.9662,                      1,                  0.995,                  0.995,                 0.2542,                0.45452,                0.36425,               0.003169,               0.003169,               0.003169
                     71,                0.13432,                0.39745,                0.93811,                0.97157,                      1,                  0.995,                 0.9858,                0.22396,                0.44733,                0.33192,                0.00307,                0.00307,                0.00307
                     72,                0.13326,                0.51795,                0.91926,                0.97803,                      1,                  0.995,                 0.9858,                0.23328,                0.45913,                0.34001,               0.002971,               0.002971,               0.002971
                     73,                0.12347,                0.42989,                 0.9059,                0.97938,                      1,                  0.995,                0.97459,                0.25399,                0.51037,                0.36354,               0.002872,               0.002872,               0.002872
                     74,                 0.1369,                0.41487,                0.93992,                0.97939,                      1,                  0.995,                0.96817,                0.27606,                0.51658,                0.39548,               0.002773,               0.002773,               0.002773
                     75,                0.11653,                0.39975,                0.91828,                0.97528,                      1,                  0.995,                0.98189,                0.26572,                0.51198,                0.38131,               0.002674,               0.002674,               0.002674
                     76,                0.12288,                 0.4058,                0.90936,                0.97599,                      1,                  0.995,                  0.995,                0.25646,                0.47144,                0.38039,               0.002575,               0.002575,               0.002575
                     77,                0.11639,                0.38781,                0.89841,                0.96856,                0.97655,                   0.99,                 0.9873,                0.26875,                0.54409,                0.39296,               0.002476,               0.002476,               0.002476
                     78,                0.11396,                0.37605,                0.91705,                0.95163,                0.97917,                0.99214,                0.98792,                0.27108,                0.52832,                0.39583,               0.002377,               0.002377,               0.002377
                     79,                0.11366,                0.40719,                0.91219,                0.92606,                0.96717,                0.97801,                0.97098,                0.29016,                0.58881,                0.41297,               0.002278,               0.002278,               0.002278
                     80,                0.12217,                0.43223,                0.93194,                 0.9344,                0.97917,                0.98833,                0.98409,                0.29763,                0.57258,                0.42415,               0.002179,               0.002179,               0.002179
                     81,                0.10682,                   0.39,                0.90272,                0.91164,                0.95993,                0.98226,                0.97804,                0.28377,                0.56862,                0.40571,                0.00208,                0.00208,                0.00208
                     82,                0.11648,                0.34096,                 0.9047,                0.93229,                0.97917,                   0.99,                0.98599,                0.28851,                0.56042,                0.41409,               0.001981,               0.001981,               0.001981
                     83,                0.11055,                0.42538,                0.89169,                0.89034,                0.92894,                0.94179,                0.92779,                0.30884,                0.66744,                0.42441,               0.001882,               0.001882,               0.001882
                     84,                 0.1087,                0.37148,                0.90657,                0.92401,                0.97917,                0.98292,                0.97866,                 0.2972,                0.57184,                0.42545,               0.001783,               0.001783,               0.001783
                     85,                0.11446,                0.37464,                0.92738,                0.97671,                0.98997,                  0.995,                  0.995,                 0.2911,                0.47664,                0.43291,               0.001684,               0.001684,               0.001684
                     86,                0.09611,                0.34726,                0.90047,                 0.9774,                      1,                  0.995,                  0.995,                0.29255,                0.45778,                0.42658,               0.001585,               0.001585,               0.001585
                     87,                0.10112,                0.39947,                0.87344,                0.97695,                      1,                  0.995,                  0.995,                0.27972,                0.45042,                0.40266,               0.001486,               0.001486,               0.001486
                     88,                 0.0996,                0.40469,                0.90771,                0.97704,                      1,                  0.995,                  0.995,                0.27748,                 0.4643,                0.39617,               0.001387,               0.001387,               0.001387
                     89,                0.10343,                0.36999,                0.88366,                0.97886,                      1,                  0.995,                  0.995,                0.28873,                0.45864,                0.41179,               0.001288,               0.001288,               0.001288
                     90,                0.08512,                0.38672,                0.89431,                0.97963,                      1,                  0.995,                  0.995,                0.28425,                0.45354,                0.41098,               0.001189,               0.001189,               0.001189
                     91,                0.10029,                0.39016,                0.93219,                0.98115,                      1,                  0.995,                  0.995,                0.28833,                0.45446,                 0.4202,                0.00109,                0.00109,                0.00109
                     92,                0.08808,                0.35539,                 0.9131,                0.98172,                      1,                  0.995,                  0.995,                0.28853,                 0.4699,                0.42451,               0.000991,               0.000991,               0.000991
                     93,                 0.0841,                0.33469,                0.89553,                0.98191,                      1,                  0.995,                  0.995,                0.27347,                0.46326,                0.39887,               0.000892,               0.000892,               0.000892
                     94,                0.08581,                0.37962,                0.91028,                0.98211,                      1,                  0.995,                  0.995,                0.27263,                 0.4628,                0.39386,               0.000793,               0.000793,               0.000793
                     95,                0.09195,                0.34579,                0.90537,                0.98236,                      1,                  0.995,                  0.995,                0.27148,                0.46461,                0.39046,               0.000694,               0.000694,               0.000694
                     96,                0.08816,                0.33349,                 0.8812,                0.98237,                      1,                  0.995,                  0.995,                0.27332,                0.46013,                0.39263,               0.000595,               0.000595,               0.000595
                     97,                0.08107,                0.35336,                0.90653,                0.98264,                      1,                  0.995,                  0.995,                0.27391,                0.45893,                0.39261,               0.000496,               0.000496,               0.000496
                     98,                0.08238,                0.31573,                0.90896,                0.98258,                      1,                  0.995,                  0.995,                0.27543,                0.46243,                0.39258,               0.000397,               0.000397,               0.000397
                     99,                0.07517,                0.31116,                0.90801,                0.98256,                      1,                  0.995,                  0.995,                0.27441,                0.46137,                0.39121,               0.000298,               0.000298,               0.000298
